Sample	likelihood
0	-1037.968987483321
100	-1055.2739510852878
200	-1030.2241961564
300	-1030.082775579277
400	-1031.5403453835486
500	-1031.811766611955
600	-1026.2988752983074
700	-1033.6130981334306
800	-1031.5155899246286
900	-1012.8573196622723
1000	-1021.2559600690646
1100	-1028.963490146616
1200	-1010.5149854650299
1300	-1036.3597264926204
1400	-1038.1411555261495
1500	-1027.1006449897948
1600	-1021.562279340773
1700	-1001.9732505500102
1800	-998.6616560803417
1900	-1003.9814951504304
2000	-1011.7841284448854
2100	-1004.3545539620911
2200	-1001.6646604735245
2300	-1010.8896616140809
2400	-1006.2982889688681
2500	-1011.4767624646314
2600	-1018.7075677017466
2700	-1031.1906570070464
2800	-1031.0902171936195
2900	-1025.5928523151365
3000	-1035.9926818785352
3100	-1029.265033454039
3200	-1022.6407443653534
3300	-1027.3252196679398
3400	-1023.8037902172524
3500	-1031.3069826165547
3600	-1044.6636525678373
3700	-1028.299079536213
3800	-1023.747792048364
3900	-1022.5424651712692
4000	-1029.4367745442005
4100	-1051.2158942904152
4200	-1046.8297081803216
4300	-1047.2340098000811
4400	-1047.6061814408272
4500	-1062.0751479970995
4600	-1029.5145712401327
4700	-1035.7524849071096
4800	-1018.0817579996664
4900	-1031.1720426280071
5000	-1026.7145453231744
5100	-1022.0603043983856
5200	-1031.6620199765491
5300	-1032.7103496474867
5400	-1042.0499676065983
5500	-1027.9422272264849
5600	-1052.4061630402614
5700	-1032.6085899601878
5800	-1071.280385671216
5900	-1076.1576048608981
6000	-1048.5263432417833
6100	-1044.5617726329122
6200	-1051.0130254710734
6300	-1055.128388048664
6400	-1043.347900848283
6500	-1016.3949769977557
6600	-1043.9308229543685
6700	-1034.9798801540392
6800	-1022.1202449498744
6900	-1028.093875039377
7000	-1024.1350155064342
7100	-1017.0237302264882
7200	-1029.776753573386
7300	-1033.5912108989976
7400	-1033.681358136572
7500	-1036.9050090747833
7600	-1039.3168526220697
7700	-1038.4336626631277
7800	-1040.8650624605484
7900	-1035.9432609936314
8000	-1032.6471406996407
8100	-1050.430023535944
8200	-1049.638554678278
8300	-1063.7099627698142
8400	-1060.6950369724555
8500	-1078.4121911225716
8600	-1064.950364081086
8700	-1061.9540038234784
8800	-1055.6797643293337
8900	-1048.2333433480817
9000	-1090.2448802225633
9100	-1052.9352574767115
9200	-1070.3246210245388
9300	-1057.2165879336465
9400	-1073.161999100369
9500	-1060.7334052634033
9600	-1065.6052181058749
9700	-1062.083549686754
9800	-1098.7392438210659
9900	-1068.5853874159268
10000	-1089.4391148933532
10100	-1078.481471980679
10200	-1073.992798179069
10300	-1087.262778559038
10400	-1070.443205983486
10500	-1075.4854703111093
10600	-1078.7270527991298
10700	-1070.841284119424
10800	-1085.2232352442395
10900	-1080.4782802587044
11000	-1082.3581649860525
11100	-1086.2266881239664
11200	-1060.3988615291564
11300	-1092.8318309220172
11400	-1056.4659705068912
11500	-1056.665866937039
11600	-1066.5872801152098
11700	-1042.6360203947856
11800	-1057.3457598621665
11900	-1042.0127642449488
12000	-1049.7932564794053
12100	-1031.9987475982466
12200	-1016.0172554824248
12300	-1026.5617140523473
12400	-1023.416603811431
12500	-1019.8853328909684
12600	-1056.4266037704465
12700	-1031.250591250906
12800	-1017.5879709689012
12900	-1033.3623304932535
13000	-1031.4376977041106
13100	-1013.5549157696042
13200	-1016.1121195530726
13300	-1027.2423446221892
13400	-1039.7448264523825
13500	-1037.2482810679273
13600	-1032.030846906078
13700	-1027.9129907582794
13800	-1053.0050712968248
13900	-1035.8695225152521
14000	-1034.6099958875327
14100	-1040.1663118485253
14200	-1050.853200244205
14300	-1040.0560956306877
14400	-1055.697011610353
14500	-1034.7444501964517
14600	-1043.1159021736253
14700	-1012.2408766738431
14800	-1014.6812539152837
14900	-1001.159867983997
15000	-1020.1722617982225
15100	-1031.2104624745002
15200	-1011.0002414992367
15300	-1022.4826208358284
15400	-1020.5103815657419
15500	-1029.3257109653605
15600	-1020.0524208550937
15700	-1032.5311664443298
15800	-1030.2943959315787
15900	-1009.6313866868093
16000	-1014.3913077518023
16100	-1018.5538059780728
16200	-1015.6596670234958
16300	-1021.3657142106966
16400	-1025.5472823289024
16500	-1022.7533717373939
16600	-1019.7826518487051
16700	-1016.6106272756364
16800	-1023.8033369975332
16900	-1024.949500146097
17000	-1026.3446329746796
17100	-1024.8884462755925
17200	-1046.248786646165
17300	-1021.761642254091
17400	-1018.9454120837275
17500	-1022.5856847257869
17600	-1017.7742607574819
17700	-1017.056600083581
17800	-1024.1031148624468
17900	-1023.495122974703
18000	-1033.306871799274
18100	-1031.2165482641315
18200	-1075.245905176977
18300	-1056.5666646454945
18400	-1041.7133308663767
18500	-1051.9462450597725
18600	-1034.930779390296
18700	-1023.8901094230174
18800	-1034.167730652796
18900	-1034.0352917900677
19000	-1034.9314345817718
19100	-1039.8510552900427
19200	-1041.1384667997656
19300	-1043.3284109074204
19400	-1033.8825987325138
19500	-1040.5392562352654
19600	-1041.2837453781306
19700	-1043.1927408070508
19800	-1090.1239028675568
19900	-1044.965948421566
20000	-1042.3352249467437
20100	-1058.486911479543
20200	-1072.551912461376
20300	-1064.0902418672028
20400	-1055.0690108041335
20500	-1070.203346906817
20600	-1069.876442244547
20700	-1048.2071519948017
20800	-1056.1719453422788
20900	-1049.3424578159918
21000	-1064.3600843272416
21100	-1066.9977710536511
21200	-1073.13998146105
21300	-1053.9144912958845
21400	-1045.0179322734189
21500	-1061.5342837685757
21600	-1043.2317591045228
21700	-1067.0281806424236
21800	-1068.9017341569697
21900	-1067.12687976578
22000	-1043.4709417991276
22100	-1050.89815190552
22200	-1036.2108580095385
22300	-1054.4298244473327
22400	-1047.775943136628
22500	-1073.2346078301305
22600	-1068.563991979163
22700	-1066.5233767626537
22800	-1049.1490418741857
22900	-1073.8552718505146
23000	-1032.8401397130574
23100	-1052.4966720645828
23200	-1032.5162138636206
23300	-1040.3577709705798
23400	-1044.6947062841189
23500	-1027.1836876263137
23600	-1037.3398003447764
23700	-1051.7567298497734
23800	-1040.6030391147876
23900	-1040.6156745064015
24000	-1022.5462494223018
24100	-1017.2463099314701
24200	-1017.1585574864656
24300	-1026.4745048898249
24400	-1047.4319233665826
24500	-1041.639020139872
24600	-1065.462398575595
24700	-1045.2547471525497
24800	-1049.550738765708
24900	-1055.4551181475124
25000	-1057.6185955135966
25100	-1070.9158537427477
25200	-1056.7754188147117
25300	-1032.383652725385
25400	-1057.964830659795
25500	-1039.3836970553975
25600	-1028.1678553606528
25700	-1014.2910674382651
25800	-1021.9679523689376
25900	-1020.0044462494732
26000	-1026.387277966975
26100	-1038.2572123313175
26200	-1033.7411736392335
26300	-1042.9526535387854
26400	-1044.4125529683922
26500	-1039.8821337715472
26600	-1040.0429475525796
26700	-1020.5227622370629
26800	-1025.9196419822217
26900	-1005.2699349400434
27000	-1032.126072387654
27100	-1006.2750787015996
27200	-1013.2807041489181
27300	-1024.7750295028231
27400	-1024.5324291879479
27500	-1025.9794935460363
27600	-1016.7018459861775
27700	-1039.86225377069
27800	-1028.3524552375466
27900	-1011.0402088812293
28000	-1021.1846889347818
28100	-1014.2445187894255
28200	-1010.230231938772
28300	-1008.3494636128727
28400	-1015.4098453117484
28500	-1015.5893683731728
28600	-1040.1121857473815
28700	-1055.4323610990223
28800	-1050.0062978476917
28900	-1044.8990374039922
29000	-1034.2144970425338
29100	-1025.9721160217637
29200	-1019.018765259911
29300	-1010.1594830032373
29400	-1021.4716899378743
29500	-1027.0512577384798
29600	-1031.236840691669
29700	-1026.7214026737847
29800	-1025.4101252084859
29900	-1023.3761150225063
30000	-1038.4243497407942
30100	-1044.6193107200304
30200	-1034.9722801422529
30300	-1040.8681301753827
30400	-1047.1150476313512
30500	-1039.1366311409222
30600	-1032.416417255436
30700	-1048.5995684361544
30800	-1036.3295787982634
30900	-1044.4491641738837
31000	-1043.0202334782514
31100	-1028.036636980226
31200	-1022.0299270970538
31300	-1022.1256178455909
31400	-1000.409732284475
31500	-1012.4166156888866
31600	-1021.7929823586511
31700	-1038.918173452577
31800	-1046.214694010304
31900	-1055.369557287603
32000	-1034.0403082529563
32100	-1021.0212279989652
32200	-1036.8304602399537
32300	-1039.5604549659352
32400	-1031.697543569258
32500	-1035.7286285796956
32600	-1049.2608674891974
32700	-1048.0965359119737
32800	-1038.4319830973875
32900	-1028.0954063500285
