Sample	likelihood
0	-1445.909550059861
100	-1320.5677809512936
200	-1322.4596351030173
300	-1249.1760153729188
400	-1217.641901173663
500	-1201.085314845779
600	-1107.6017035404823
700	-1115.3220895979966
800	-1179.7987528276785
900	-1207.678852434682
1000	-1135.825793475416
1100	-1260.3984450059625
1200	-1216.0649143683108
1300	-1246.7682084175353
1400	-1181.9188184071836
1500	-1185.6140423410575
1600	-1117.178694762519
1700	-1142.1230649764066
1800	-1152.0178262899713
1900	-1141.7474392424715
2000	-1126.7419279800579
2100	-1327.0374609933613
2200	-1188.8660095648675
2300	-1160.3247025598998
2400	-1193.596921628965
2500	-1173.3304360292752
2600	-1321.316410657215
2700	-1276.0248547967753
2800	-1246.2635045871534
2900	-1148.7192261614368
3000	-1220.0123845543249
3100	-1186.485683857482
3200	-1654.8198920928107
3300	-1227.2145994316284
3400	-1581.7568109778495
3500	-1546.4486731789066
3600	-1434.0090201224987
3700	-1476.5723618192796
3800	-1356.4980473044689
3900	-1337.3807122211997
4000	-1472.0859271229629
4100	-1260.950256627169
4200	-1294.766586495588
4300	-1208.8024885220868
4400	-1215.4628725081564
4500	-1158.0253215632674
4600	-1110.8020607245066
4700	-1125.3766824038005
4800	-1119.3700012094364
4900	-1202.1189630227864
5000	-1168.6653041088648
5100	-1315.4325793977623
5200	-1292.7232440714497
5300	-1320.1624242670564
5400	-1386.0764940800227
5500	-1335.7831234830546
5600	-1252.5734555511135
5700	-1301.6925641384528
5800	-1325.8324008151828
5900	-1446.1204979913966
6000	-1508.5085015546838
6100	-1491.6659578113076
6200	-1414.658105856636
6300	-1337.2519143161144
6400	-1359.8551519976957
6500	-1396.1783011324248
6600	-1464.3276892264635
6700	-1482.574839054915
6800	-2052.998121610581
6900	-1633.2506950789557
7000	-1522.6614750267845
7100	-1498.3444935178904
7200	-1466.1618832211898
7300	-1769.9961470267672
7400	-1478.840763159183
7500	-1251.7626437515642
7600	-1348.158272806084
7700	-1306.4024035311872
7800	-1152.8406285810192
7900	-1142.7012539284563
8000	-1228.3805070342653
8100	-1213.7315904968518
8200	-1276.3431461105329
8300	-1355.004940782808
8400	-1455.957593409521
8500	-1282.5355830990152
8600	-1185.9630341487582
8700	-1168.8983073733104
8800	-1136.41020922852
8900	-1131.5398249705368
9000	-1211.0842020869459
9100	-1165.261728056972
9200	-1162.3528470212364
9300	-1125.2917702300817
9400	-1258.8321495247665
9500	-1102.2687540886577
9600	-1106.9633025621492
9700	-1141.6864200613163
9800	-1149.9123022319418
9900	-1186.3099774038628
10000	-1286.2727973200042
10100	-1173.1052429161373
10200	-1329.5430922954636
10300	-1148.9861081025763
10400	-1312.8636885848414
10500	-1140.8642850033784
10600	-1135.6898605392562
10700	-1123.3985469625488
10800	-1123.4818296327512
10900	-1181.171886749685
11000	-1135.7548570475649
11100	-1321.565288020907
11200	-1164.7377974780907
11300	-1132.2436876641796
11400	-1203.838012753398
11500	-1197.2779556609116
11600	-1155.3784911897053
11700	-1172.3930816965312
11800	-1288.7658181427698
11900	-1568.491387099638
12000	-1501.1408651872794
12100	-1381.7269624482296
12200	-1566.8230617337554
12300	-1337.3421986179242
12400	-1282.8312915963932
12500	-1595.6622175055395
12600	-1532.3778926369055
12700	-1593.9719627113504
12800	-1366.9790822177424
12900	-1383.7692948381016
13000	-1347.8812185299385
13100	-1337.8927951160122
13200	-1384.8075759575026
13300	-1318.2741730152375
13400	-1219.831864585652
13500	-1496.696702964256
13600	-1568.5591331665473
13700	-1456.8932408945684
13800	-1450.1124038250782
13900	-1652.3337148923351
14000	-1518.4006409754256
14100	-1580.6722775442
14200	-1362.860277321627
14300	-1427.894172307222
14400	-1453.1967534652563
14500	-1454.8807452083815
14600	-1162.5700177849526
14700	-1152.5359062842278
14800	-1166.818799938355
14900	-1142.884362193168
15000	-1816.7958893324212
15100	-1904.6890918931144
