#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:trees" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:trees" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:trees" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.1stpos" spec="beast.evolution.alignment.TaxonSet">
#                    <alignment filter="1-639\3" id="1stpos" spec="beast.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <distribution id="BMT_PropInvariablePrior.s:site" spec="beast.math.distributions.BMTPrior">
#            <count id="hasInvariableSites.s:site" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_ProportionInvariable.s:site" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Beta id="Beta.0" name="distr">
#                <parameter id="RealParameter.4" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter.5" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">4.0</parameter>
#            </Beta>
#        </distribution>
#        <distribution id="BMT_RatesPrior.s:site" spec="beast.math.distributions.NucleotideRevJumpSubstModelRatePrior">
#            <modelIndicator id="BMT_ModelIndicator.s:site" lower="0" spec="beast.core.parameter.IntegerParameter" upper="5">5</modelIndicator>
#            <substModel id="RevJump.s:site" modelIndicator="@BMT_ModelIndicator.s:site" spec="beast.evolution.substitutionmodel.NucleotideRevJumpSubstModel">
#                <parameter dimension="6" id="BMT_Rates.s:site" lower="0.01" name="rates" spec="beast.core.parameter.RealParameter" upper="100.0">1.0</parameter>
#                <frequencies empirical="false" id="BMTfreqs.s:site" spec="beast.evolution.substitutionmodel.ModelFrequencies">
#                    <hasEqualFreqs id="hasEqualFreqs.s:site" spec="beast.core.parameter.BooleanParameter">false</hasEqualFreqs>
#                    <parameter dimension="4" id="BMT_frequencies.s:site" name="frequencies" spec="beast.core.parameter.RealParameter">0.25 0.25 0.25 0.25</parameter>
#                </frequencies>
#            </substModel>
#            <parameter idref="BMT_Rates.s:site" name="x"/>
#            <Exponential id="BMT_RatesPrior.s:sitex" name="distr"/>
#        </distribution>
#        <prior id="BMT_freqsPrior.s:site" name="distribution" x="@BMT_frequencies.s:site">
#            <distr id="Dirichlet.0" spec="beast.math.distributions.Dirichlet">
#                <parameter dimension="4" id="RealParameter.6" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">1.0 1.0 1.0 1.0</parameter>
#            </distr>
#        </prior>
#        <distribution id="BMT_GammaShapePrior.s:site" spec="beast.math.distributions.BMTPrior">
#            <count id="hasGammaRates.s:site" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_gammaShape.s:site" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.3" name="distr">
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:trees" name="distribution" x="@birthRate.t:trees">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1stpos" id="treeLikelihood.1stpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:trees" useAmbiguities="true">
#            <siteModel gammaCategoryCount="4" hasGammaRates="@hasGammaRates.s:site" hasInvariantSites="@hasInvariableSites.s:site" id="BEASTModelTest.s:site" proportionInvariant="@BMT_ProportionInvariable.s:site" shape="@BMT_gammaShape.s:site" spec="beast.evolution.sitemodel.BEASTModelTestSiteModel" substModel="@RevJump.s:site">
#                <parameter estimate="false" id="BMT_mutationRate.s:site" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.2ndpos" siteModel="@BEASTModelTest.s:site" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:trees" useAmbiguities="true">
#            <data data="@AiCOI" filter="2-639\3" id="2ndpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.3rdpos" siteModel="@BEASTModelTest.s:site" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:trees" useAmbiguities="true">
#            <data data="@AiCOI" filter="3-639\3" id="3rdpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.1stpos	treeLikelihood.2ndpos	treeLikelihood.3rdpos	TreeHeight	YuleModel	birthRate	rateAC	rateAG	rateAT	rateCG	rateCT	rateGT	substmodel	BMT_ModelIndicator	BMT_gammaShape	BMT_ProportionInvariable	hasGammaRates	hasInvariableSites	ActivePropInvariable	ActiveGammaShape	hasEqualFreqs	BMT_frequencies.1	BMT_frequencies.2	BMT_frequencies.3	BMT_frequencies.4
0	-4314.884958551229	-4304.292110116748	-10.592848434480889	-1020.5484672442886	-702.6921415450494	-2581.05150132741	1.6321841461983722	-8.992738633336476	1.0	1.0	1.0	1.0	1.0	1.0	1.0	121321	5	1.0	0.1	1	1	0.1	1.0	0	0.25	0.25	0.25	0.25
1000	-2050.5144496409525	-2109.9034942249414	59.38904458398875	-498.350038191209	-375.901121874269	-1235.6523341594634	0.14106822258683727	64.78525791963658	31.521652603028098	1.2719754102542364	0.6484649701206592	1.2719754102542364	0.9497083821867741	1.6392920094988521	0.21858381768524152	121345	10	0.9634576727781764	0.501119002991435	1	1	0.501119002991435	0.9634576727781764	1	0.23524029515103564	0.25893137311496917	0.2579278456441078	0.24790048608988743
2000	-1724.9223587630217	-1801.2015528057925	76.27919404277075	-440.39458644001127	-354.8272179897007	-1005.9797483760806	0.1039746443132017	82.2533832871314	76.9548509907144	1.0706897317389812	0.6847306334480134	1.0706897317389812	0.1723351638508679	1.9457692699943936	1.055785469228762	121345	10	1.3205440996865674	0.5381798056547565	1	1	0.5381798056547565	1.3205440996865674	1	0.22626900274235567	0.26474972898929294	0.261080782178464	0.24790048608988743
3000	-1690.2189416083543	-1760.3967105701272	70.17776896177294	-442.43927998595836	-359.8994936137146	-958.0579369704542	0.13067725821340384	76.36413168760278	65.72589554415677	1.2698667771854675	1.0853815366624773	0.36812571984948705	0.36812571984948705	2.496548942983638	0.4119513034694429	123345	22	1.4436998811198591	0.5381798056547565	1	1	0.5381798056547565	1.4436998811198591	1	0.22730593635926302	0.2591217139795859	0.2532588644914828	0.26031348516966824
4000	-1679.3134203616557	-1760.213236985028	80.89981662337223	-435.6747879188506	-349.51902975349117	-975.0194193126863	0.08450349360529995	86.02681117225681	61.87207589550804	1.3487519844505167	0.9775337145462588	0.35692759336791696	0.35692759336791696	2.7562360293828214	0.20362308488456887	123345	22	1.2093144511131033	0.4087116545173738	1	1	0.4087116545173738	1.2093144511131033	0	0.23409008791385585	0.2534832373198822	0.25211318959659373	0.26031348516966824
5000	-1672.160889552258	-1748.484417204625	76.32352765236705	-439.9711950883362	-360.74316517349286	-947.770056942796	0.1213748572842449	80.10517176784258	51.1860562704154	1.026166034760697	1.2186853367372625	1.026166034760697	0.04476469134337953	2.6394532110545845	0.04476469134337953	121343	9	0.8456124424790034	0.36964724124957576	1	1	0.36964724124957576	0.8456124424790034	1	0.22269363543517431	0.2561548894319006	0.26083798996325686	0.26031348516966824
6000	-1676.3948147495885	-1750.4115554682737	74.01674071868533	-438.7078252209081	-357.89524679670586	-953.8084834506598	0.13443095269438463	78.27893997469106	69.9217849566139	0.9454170591186912	0.8490154986720576	1.1340282134147683	0.17234965308043879	2.7268399226336055	0.17234965308043879	123454	29	0.426303505660334	0.3308397215923909	1	1	0.3308397215923909	0.426303505660334	1	0.20578671998854023	0.2693126919747513	0.254782343458138	0.27011824457857053
7000	-1670.117491285383	-1753.4999875750336	83.38249628965053	-433.4495309802217	-349.63906727978093	-970.411389315031	0.08147796042447092	87.43459007997262	91.94593994037528	0.8355582825410979	0.9223362229935239	1.0646133992149032	0.10411891758501689	2.969254260080441	0.10411891758501689	123454	29	0.17160489161466072	0.033470687625193445	1	0	0.0	0.17160489161466072	1	0.20578671998854023	0.2693126919747513	0.24559084265678638	0.27930974537992215
8000	-1661.1519324573367	-1738.4150772283315	77.2631447709948	-434.68895144054716	-356.02512038325597	-947.7010054045285	0.1178459214550284	81.15891125821888	58.76512607373395	0.6215458714941164	1.0175745711910906	0.9378196920391473	0.18762804662825444	3.0478037720191367	0.18762804662825444	123454	29	0.21138838885296007	0.033470687625193445	1	0	0.0	0.21138838885296007	1	0.20578671998854023	0.2693126919747513	0.24559084265678638	0.27930974537992215
9000	-1668.748326760775	-1744.7411219181508	75.99279515737587	-437.5831410917213	-361.89588577800055	-945.262095048429	0.11561402319044627	80.05449706163398	63.656592265409515	0.6180709312510895	0.9195888395839875	1.152862114047956	0.08507844818622434	3.1393212187445183	0.08507844818622434	123454	29	0.2705725660349607	0.033470687625193445	1	0	0.0	0.2705725660349607	1	0.21545388174344507	0.2716311319668011	0.2421346361159953	0.2707803501737585
10000	-1661.6804317058725	-1741.1985533166742	79.51812161080171	-434.635905900823	-354.7424321991859	-951.8202152166652	0.11321290159377206	82.61038620537694	71.5832972814025	0.8148373884991795	0.9975426017550543	0.8148373884991795	0.14190348719161971	3.0889756468633474	0.14190348719161971	121343	9	0.1909335614103452	0.033470687625193445	1	0	0.0	0.1909335614103452	1	0.21545388174344507	0.2724675625667812	0.2421346361159953	0.26994391957377845
11000	-1671.7680793389807	-1746.7655443345297	74.99746499554908	-440.6058364290789	-352.11313395169776	-954.046573953753	0.11387521186734631	79.10714836603452	41.79099714342152	0.8184374595487834	0.9571511184339911	0.8308272483305601	0.16706316255480674	3.0795755016167043	0.1469455095151544	123456	30	0.2193822770044378	0.033470687625193445	1	0	0.0	0.2193822770044378	0	0.21545388174344507	0.2724675625667812	0.2421346361159953	0.26994391957377845
12000	-1666.818619632867	-1743.7734598360362	76.95484020316927	-435.3021304561845	-352.6280812199909	-955.8432481598608	0.1211763310724839	79.94219665844412	68.65548867564074	0.6585544754021302	1.107694286955473	0.6585544754021302	0.17160560300940625	3.2319855562214546	0.17160560300940625	121343	9	0.12193836485868093	0.033470687625193445	1	0	0.0	0.12193836485868093	1	0.21139276761797685	0.2812987022412382	0.24866538215437897	0.25864314798640603
