Sample	likelihood
0	-1400.2095202873093
100	-1407.19158458928
200	-1403.4542649133632
300	-1406.7829662608387
400	-1402.5349970187362
500	-1406.8062335175464
600	-1401.0766689793368
700	-1406.656017293327
800	-1409.926852135654
900	-1400.0533275203252
1000	-1405.164845748372
1100	-1402.854615262526
1200	-1400.6623727159013
1300	-1399.5236575989238
1400	-1402.9317464104097
1500	-1402.1951357454654
1600	-1400.34362658781
1700	-1402.8369779724862
1800	-1405.7420545035568
1900	-1400.9246759847404
2000	-1400.4587304262127
2100	-1398.5043925146188
2200	-1405.348707862216
2300	-1408.8157257907042
2400	-1404.1291882259293
2500	-1399.8248156041172
2600	-1401.4582406950417
2700	-1410.085753066291
2800	-1401.8376473581613
2900	-1401.4070121185696
3000	-1406.1679050015143
3100	-1408.4147773910722
3200	-1400.2621677427433
3300	-1400.562497676733
3400	-1399.4304395339414
3500	-1402.2934932994958
3600	-1401.9816235647659
3700	-1401.7974860151357
3800	-1400.3535153977539
3900	-1401.3566462420747
4000	-1401.0703419300526
4100	-1403.7405569607708
4200	-1405.4361838760665
4300	-1400.4146826643546
4400	-1402.128517101903
4500	-1405.9880898290803
4600	-1402.321825174689
4700	-1406.934618103845
4800	-1400.829883371589
4900	-1407.0102363652122
5000	-1401.0833742961267
5100	-1401.6938234810937
5200	-1398.5939737728847
5300	-1404.7749317218595
5400	-1408.777931185203
5500	-1404.0347879044923
5600	-1398.1102698707305
5700	-1400.1108821934495
5800	-1401.5905034676352
5900	-1406.3703665261978
6000	-1402.5016490040907
6100	-1409.6228419999516
6200	-1401.0716944358749
6300	-1399.0338271924084
6400	-1400.9694207025843
6500	-1399.1622553968828
6600	-1401.8588783675075
6700	-1405.374618435224
6800	-1399.029179593363
6900	-1402.7312250498433
7000	-1409.1698855225768
7100	-1407.279957560821
7200	-1398.9365026281398
7300	-1401.5158342452448
7400	-1407.6838176792935
7500	-1405.6327796186015
7600	-1402.235760137627
7700	-1404.6768469555732
