Sample	likelihood
0	-1145.7312466139124
100	-1135.1584395172376
200	-1123.2209583204447
300	-1111.5311994726362
400	-1132.6142017215823
500	-1131.6697232393633
600	-1122.1556412918592
700	-1111.3199467036711
800	-1124.8259524773052
900	-1123.624346778474
1000	-1100.4130780063101
1100	-1079.5791536142647
1200	-1081.150405129619
1300	-1092.612679003206
1400	-1056.8863813313046
1500	-1110.2810522524255
1600	-1098.9121281031094
1700	-1041.9193250801254
1800	-1050.4377133723283
1900	-1109.0431399078195
2000	-1091.943379897543
2100	-1080.6744133826148
2200	-1064.3223502377946
2300	-1107.035938649586
2400	-1075.8312665825463
2500	-1082.106819925726
2600	-1104.897662123781
2700	-1097.326086748828
2800	-1111.9442160263798
2900	-1104.5413584368632
3000	-1114.4437111367956
3100	-1110.2248858505445
3200	-1072.1599609451584
3300	-1084.0885936218056
3400	-1034.1401505621907
3500	-1015.5122596576083
3600	-1034.5120569267146
3700	-1068.9723268342746
3800	-1054.5705984445692
3900	-1054.906352127182
4000	-1057.7354950056624
4100	-1079.9053642791932
4200	-1087.6879305834336
4300	-1100.7757436681998
4400	-1100.8852824423432
4500	-1080.763153183626
4600	-1053.2608992511912
4700	-1078.8561575211422
4800	-1047.2630511534571
4900	-1052.5406717158046
5000	-1055.3484376442534
5100	-1077.3732680170212
5200	-1100.1399623843238
5300	-1095.4144976994014
5400	-1100.9699582185729
5500	-1097.6975983500379
5600	-1099.600300472579
5700	-1102.7903011981641
5800	-1092.204823533085
5900	-1072.4754056013498
6000	-1064.118499320105
6100	-1056.3762896872952
6200	-1066.445212027784
6300	-1088.5316345305698
6400	-1086.0247490743295
6500	-1121.0900764732692
6600	-1102.813838212741
6700	-1042.1826762919127
6800	-1076.030344984773
6900	-1092.353585343674
7000	-1100.9764184034893
7100	-1089.0001048407723
7200	-1064.7321199014693
7300	-1071.5196258369306
7400	-1045.185452572521
7500	-1085.0790725223867
7600	-1101.2533897064236
7700	-1119.8313425010488
7800	-1117.1164897790095
7900	-1118.0376456757567
8000	-1084.5610379244538
8100	-1087.8369207193152
8200	-1067.462305474609
8300	-1050.9214325666187
8400	-1065.2306924083275
8500	-1065.8329267385482
8600	-1076.9604593501206
8700	-1073.4787232823448
8800	-1056.1067345778047
8900	-1073.8970253656983
9000	-1076.7340762473318
9100	-1066.08935106621
9200	-1059.8207998091373
9300	-1068.6566446345416
9400	-1090.082717111431
9500	-1071.955443452423
9600	-1070.2791250317282
9700	-1061.5366153273685
9800	-1053.6637518303053
9900	-1076.2796275662558
10000	-1047.9561142720472
10100	-1057.3498290197658
10200	-1082.1820222077995
10300	-1086.2731213819372
10400	-1082.9569875219258
10500	-1082.4869384240237
10600	-1108.161565266322
10700	-1121.7813943278968
10800	-1130.009311026075
10900	-1095.6182050382174
11000	-1132.5803475508635
11100	-1096.882972852003
11200	-1092.7667803047739
11300	-1089.1412339982328
11400	-1113.1260943813793
11500	-1154.4649736631109
11600	-1095.3846456150711
11700	-1086.6528947365546
11800	-1113.6331746346962
11900	-1106.9931359628522
12000	-1130.3324556477899
12100	-1134.706207709422
12200	-1150.727738184914
12300	-1118.2093094260458
12400	-1105.4480350663468
12500	-1104.6967655480973
12600	-1089.3024359188612
12700	-1118.408745087932
12800	-1114.8098758131687
12900	-1134.5637518274984
13000	-1134.218099497021
13100	-1115.1990471449499
13200	-1088.0498081767175
13300	-1108.9996573896478
13400	-1187.2139818836129
13500	-1180.9128674716187
13600	-1176.120867028144
13700	-1173.8189211220026
13800	-1157.3058409410921
13900	-1145.3022612399463
14000	-1131.0395064443837
14100	-1109.6401614287067
14200	-1110.3300230956584
14300	-1153.9578867919843
14400	-1154.8909286621658
14500	-1124.7439610169022
14600	-1153.8983024284366
14700	-1192.3579342317053
14800	-1199.4127724228438
14900	-1226.4147311095514
15000	-1189.7232260086923
15100	-1185.2302712063827
15200	-1208.1149013943846
15300	-1223.6613425021737
15400	-1110.5979704632346
15500	-1128.2889056089823
15600	-1133.1651802323024
15700	-1164.245601140229
15800	-1142.5217042558502
15900	-1169.330554868527
16000	-1185.7251222265759
16100	-1201.786175861439
16200	-1248.8359724491074
16300	-1217.9971024263339
16400	-1216.6857735305296
16500	-1205.8184978418587
16600	-1192.114029541854
16700	-1230.4417919105608
16800	-1209.3925508734642
16900	-1226.092745976267
17000	-1264.6889373257293
17100	-1185.932895432541
17200	-1155.8791355740561
17300	-1161.6492427097132
17400	-1166.7298666201934
17500	-1146.5849681824805
17600	-1091.8901101309154
17700	-1100.7751479344124
17800	-1131.872581686823
17900	-1118.4161085775888
18000	-1073.6539702846608
18100	-1074.7053285877719
18200	-1118.9024432398292
18300	-1098.7614069996903
18400	-1079.6213378932607
18500	-1104.4929896445349
18600	-1120.9801880877403
18700	-1145.9560137327896
18800	-1106.1667619536304
18900	-1087.3619465165546
19000	-1126.7930320477649
19100	-1130.9236719173168
19200	-1119.412762285235
19300	-1123.0389206239515
19400	-1091.9435354808434
19500	-1081.4897521683124
19600	-1082.342469176341
19700	-1083.3433838200685
19800	-1082.131248479702
19900	-1094.0796679509292
20000	-1088.0842403781994
20100	-1150.4336515156688
20200	-1171.9795777964746
20300	-1160.2620704999458
20400	-1128.0254192012342
20500	-1105.6200991194085
20600	-1118.9021760112194
20700	-1112.525727891363
20800	-1072.3522785933508
20900	-1087.084919272166
21000	-1095.9358698046176
21100	-1089.6366447167206
21200	-1131.0811479059896
21300	-1138.9424520026073
21400	-1143.898734757734
21500	-1131.0905459146845
21600	-1103.4243929798834
21700	-1093.6322278847144
21800	-1084.4051159420853
21900	-1091.759913021044
22000	-1095.9576438428205
22100	-1085.1819713336652
22200	-1090.4476367623272
22300	-1126.4670419230417
22400	-1102.2846264343918
22500	-1139.7762076194874
22600	-1122.7675382020725
22700	-1161.8375153622349
22800	-1172.9960961179638
22900	-1147.2017225079287
23000	-1142.65266316786
23100	-1178.4782962479587
23200	-1170.5018514056374
23300	-1190.4767739877943
23400	-1151.698211965929
23500	-1133.0868538987622
23600	-1117.421338757785
23700	-1101.962885931231
23800	-1125.6436316437912
23900	-1142.3360537597625
24000	-1131.9216553919025
24100	-1147.7692575173785
24200	-1154.4543886271083
24300	-1203.567280088942
24400	-1208.2915048052155
24500	-1196.0617876671067
24600	-1208.3384239478219
24700	-1188.61983677926
24800	-1157.164109213815
24900	-1168.3553808842248
25000	-1162.6347539939445
25100	-1150.6452809948858
25200	-1149.3513882199147
25300	-1158.335745047499
25400	-1212.6661752541631
25500	-1246.927575651748
25600	-1215.0980871962608
25700	-1203.743672749776
25800	-1175.1109625311087
25900	-1180.680934200809
26000	-1159.258887947249
26100	-1129.1166811783387
26200	-1158.6560980230918
26300	-1174.1008751916713
26400	-1186.8359695811273
26500	-1179.943551742005
26600	-1172.5481405623484
26700	-1156.0657659335147
26800	-1136.2929961185935
26900	-1150.0574950564837
27000	-1140.2646120557824
27100	-1135.902774754851
27200	-1146.9183421891416
27300	-1104.485320165441
27400	-1087.028890150787
27500	-1091.3243443189806
27600	-1097.3890987030989
27700	-1103.3149961300035
27800	-1155.4842570449032
27900	-1125.1877996877959
28000	-1109.8548040548244
28100	-1129.6054732108873
28200	-1107.8654696517235
28300	-1108.1662214769149
28400	-1111.9550365633795
28500	-1122.6556319482231
28600	-1097.036408874914
28700	-1143.5951000430518
28800	-1169.3127219087378
28900	-1140.914468943097
29000	-1099.0784923961612
29100	-1073.054629896113
29200	-1071.2990134647548
29300	-1084.580070559304
29400	-1082.408230051081
29500	-1092.566690674868
29600	-1113.9100606643876
29700	-1107.0285571314648
29800	-1123.3339155862284
29900	-1129.6580023785998
30000	-1094.2467920793604
30100	-1093.852572163231
30200	-1130.140651668613
30300	-1092.7719004229957
30400	-1141.9588598377047
30500	-1101.7355356402313
30600	-1111.0569037227156
30700	-1106.4792029522582
30800	-1107.6889595302073
30900	-1077.1207630023316
31000	-1080.7144973538084
31100	-1078.537340956669
31200	-1064.830173914739
31300	-1076.8521661410605
31400	-1092.6444592859832
31500	-1083.3533127728595
31600	-1064.131243609973
31700	-1070.3785488587862
31800	-1076.18064501482
31900	-1096.098056160773
32000	-1087.7336285648275
32100	-1137.7028377092454
32200	-1091.0269095603178
32300	-1072.5123013658708
32400	-1088.3660044233495
32500	-1109.3071943991247
32600	-1110.232148857311
32700	-1085.905118106945
32800	-1083.8648503017873
32900	-1091.4462774851977
33000	-1079.139431903275
33100	-1057.1820302060942
33200	-1051.256237241721
33300	-1100.450496351134
33400	-1071.7678458091416
33500	-1119.211163096461
33600	-1110.1934859599207
33700	-1071.5634818726799
33800	-1066.375353315351
33900	-1083.512561123642
34000	-1086.3779146098716
34100	-1078.9962118035414
34200	-1053.0181270317432
34300	-1095.2652675958175
34400	-1124.0574401662063
34500	-1071.8530743160766
34600	-1039.95936066173
34700	-1042.358684241638
34800	-1059.7137938641633
34900	-1052.369817009132
35000	-1099.8892546069571
35100	-1091.9674869282564
35200	-1082.9884249504362
35300	-1101.214458914955
35400	-1090.0981932970096
35500	-1092.1629898453689
35600	-1101.9113997234165
35700	-1094.9549464905156
35800	-1094.156491700155
35900	-1115.4478106899764
36000	-1132.1927873874108
36100	-1112.5464046689517
36200	-1105.6700395946725
36300	-1116.5521041614836
36400	-1121.3916343438723
36500	-1121.268513406717
36600	-1096.4224897841743
36700	-1123.511130949706
36800	-1108.122372447977
36900	-1123.3170603045924
37000	-1118.706446966104
37100	-1139.5690629064281
37200	-1075.5150257656555
37300	-1087.959831487877
37400	-1074.073132873812
37500	-1081.055588395349
37600	-1055.776865950074
37700	-1070.6672002346431
37800	-1070.5439411066259
37900	-1076.520823787922
38000	-1096.0844748782458
38100	-1078.4868489311566
38200	-1073.1600101169806
38300	-1103.575109223619
38400	-1104.6171617608143
38500	-1130.8084953023285
38600	-1116.6596049465795
38700	-1095.9399379570675
38800	-1117.98557142983
38900	-1115.3389717595412
39000	-1057.781371446169
39100	-1040.619057122148
39200	-1044.8965646967877
39300	-1061.4627931826735
39400	-1087.8658462808921
39500	-1094.4092885513394
39600	-1102.9773792087162
39700	-1128.7816401600035
39800	-1104.2851145769991
39900	-1076.5052387696376
40000	-1091.6291947823097
40100	-1093.8052096826113
40200	-1062.9382616183725
40300	-1082.4536355315986
40400	-1070.7475586831083
40500	-1080.72117499914
40600	-1120.043621908431
40700	-1110.3016362633662
40800	-1128.4874450334978
40900	-1073.152167434316
41000	-1053.352763101967
41100	-1043.095487260939
41200	-1041.4856848158909
41300	-1058.8882008130286
41400	-1069.9245850901111
41500	-1091.0142822001205
41600	-1080.9295755878227
41700	-1074.7450673123649
41800	-1059.6869766243387
41900	-1050.4050841983392
42000	-1059.882605542706
42100	-1062.8380960900142
42200	-1072.3970909673683
42300	-1085.8506199470387
42400	-1078.329851614526
42500	-1117.6567481640832
42600	-1119.0693978384486
42700	-1104.6982215619119
42800	-1125.3883085569516
42900	-1121.3023057380706
43000	-1146.590004259039
43100	-1123.9369667855626
43200	-1135.5848294459508
43300	-1114.6854408546928
43400	-1121.7091225418376
43500	-1139.7046970063093
43600	-1122.912792744999
43700	-1121.8164177234914
43800	-1144.4275738479366
43900	-1123.4927348236558
44000	-1128.3611324517997
44100	-1138.9982745639888
44200	-1100.597858095052
44300	-1090.865374916855
44400	-1084.391902540663
44500	-1100.9342417785497
44600	-1107.9967982681221
44700	-1073.8830594279725
44800	-1085.8220044014643
44900	-1077.7143224129416
45000	-1062.9553407653557
45100	-1063.3536068528176
45200	-1076.7780708495025
45300	-1120.415408179465
45400	-1082.8213861065785
45500	-1125.037704115442
45600	-1109.3416452251934
45700	-1120.8897759320291
45800	-1098.772794416294
45900	-1096.3670646207954
46000	-1080.5133925554403
46100	-1085.9444426637554
46200	-1106.7763303869033
46300	-1133.7249258925178
46400	-1114.5267489382786
46500	-1138.7433827107607
46600	-1150.0197519535477
46700	-1156.4752789512636
46800	-1142.3466976811865
46900	-1153.6202280452117
47000	-1130.0657096394166
47100	-1134.883714020462
47200	-1128.6578447145553
47300	-1095.1410519032195
47400	-1126.9816351828267
47500	-1131.910042242689
47600	-1191.2471423193163
47700	-1163.9268749587975
47800	-1117.9251559374843
47900	-1125.7808856683848
48000	-1127.1711722627438
48100	-1136.2030590141771
48200	-1117.8902836491902
48300	-1183.2123620103127
48400	-1170.5078573138082
48500	-1141.787760245755
48600	-1141.911873771925
48700	-1142.1584632418944
48800	-1120.9178026655434
48900	-1132.9275180494797
49000	-1169.3602405108018
49100	-1137.8299713110687
49200	-1057.1522495627837
49300	-1075.6170271440737
49400	-1082.5234975585156
49500	-1076.7916258459654
49600	-1080.7416364411818
49700	-1086.650046482193
49800	-1079.3956507537137
49900	-1104.5735424652732
50000	-1099.765843211125
50100	-1093.8600333502866
50200	-1125.9123891155402
50300	-1101.2290544605394
50400	-1092.9589095788629
50500	-1130.834499516383
50600	-1118.7909872582113
50700	-1107.6000869624943
50800	-1092.2259822768212
50900	-1080.2394324725285
51000	-1077.3469518602913
51100	-1069.1968073862556
51200	-1076.6921956082122
51300	-1124.9216379439738
51400	-1079.1865709531742
51500	-1095.3834769451482
51600	-1141.4104719394247
51700	-1091.5842821104409
51800	-1122.2421615454757
51900	-1073.2938788557005
52000	-1084.1025862685165
52100	-1078.6940267361929
52200	-1070.595511031291
52300	-1078.0761657499693
52400	-1074.9441148619803
52500	-1082.0749699537653
52600	-1081.8829279311446
52700	-1049.3300089798497
52800	-1068.834908229124
52900	-1086.651703922919
53000	-1047.3610284165268
53100	-1043.581821938823
53200	-1054.7720394506362
53300	-1055.955837902381
53400	-1045.103520718562
53500	-1037.0910109472018
53600	-1041.4450980449003
53700	-1030.5597244252483
53800	-1035.6635265270224
53900	-1040.28030603291
54000	-1065.4918716641785
54100	-1071.0832098143787
54200	-1083.139968508058
54300	-1054.416673980691
54400	-1069.1192470067203
54500	-1056.1457470239598
54600	-1051.2536557996484
54700	-1065.1582431987315
54800	-1060.1112506452373
54900	-1064.8326539446807
55000	-1056.5461865478467
55100	-1051.1776439218013
55200	-1120.2099411365923
55300	-1078.0189823522771
55400	-1066.7641227503393
55500	-1068.2937620415216
55600	-1062.7186019342594
55700	-1031.6758255056643
55800	-1054.107168930661
55900	-1089.783558688168
56000	-1084.6025650323834
56100	-1094.6659789918558
56200	-1095.7782730402785
56300	-1099.7211232173788
56400	-1081.7838429622877
