#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.Ai" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.Ai" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.Ai" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.Ai" spec="snap.Data">
#                    <taxonset id="South" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="SthBarrington_BT10a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="SthBarrington_BT8a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="SthBarrington_BT9c1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MtWilson_MW12bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MtWilson_MW5bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Termeil_Te3bf" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Termeil_Te3c1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW10af" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW19cf" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Broadwater_BW31am" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dampier_Da11a2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dampier_Da19a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MaresForest_MF13a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MaresForest_MF17am" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Olney_Ol20bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Olney_Ol4bm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Cumberland_Cu12a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Cumberland_Cu6a1" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="North" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Kerewong_Ke18dm" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Kerewong_Ke21b1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="NthBarrington_BT4a2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="NthBarrington_BT6a1" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dorrigo_Do2c2" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Dorrigo_Do5bm" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.Ai" id="treeLikelihood.Ai" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.Ai">
#            <siteModel id="MutationSiteModel.Ai" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.7346278317152102</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">0.7024901703800787</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1582.7452448574795	-1418.8472889643665	-163.89795589311302	0.09043273286984657	0.061387009040622234	0.11252761243947913	1.46298876972526
1000	-1592.665174966245	-1433.5694561963994	-159.0957187698458	0.16361743471908496	0.10438341367257371	0.11041622742336928	0.2546907401370556
2000	-1581.3026185261097	-1420.4899610137322	-160.8126575123773	0.11593166133486021	0.05487084295124593	0.15525303267609714	0.29786363982634345
3000	-1578.4854544594539	-1417.8455319715877	-160.63992248786616	0.15910486992496928	0.11645269016182709	0.08994612810613146	0.8302922847279475
4000	-1581.1006057117709	-1422.588815178789	-158.5117905329818	0.14163712713701926	0.08899286976669935	0.13462131248205791	0.330196764325376
5000	-1585.2055944445722	-1425.2670530391106	-159.93854140546165	0.11897325111491044	0.11291593415238485	0.08008470442983798	0.580700590615705
6000	-1581.560722708258	-1421.635601030805	-159.9251216774531	0.10986232061678754	0.0663790407970119	0.10401586531874055	0.3625076160504591
7000	-1576.3653774905529	-1412.5134824209044	-163.85189506964855	0.17593047676762966	0.08698466089626414	0.06718293557672729	0.5122543687035028
8000	-1578.8366888276455	-1417.3467109904493	-161.48997783719628	0.12301198873071209	0.09385391467745086	0.07220737049795423	0.8216739696944613
9000	-1575.4833198364856	-1413.949924063821	-161.5333957726645	0.15991769766749012	0.05218025271079636	0.10294193870463397	0.3182706942590199
10000	-1572.6568697638681	-1409.3641982490485	-163.29267151481952	0.13163166707836696	0.07036598497901292	0.09862747955217578	2.5273580469201162
11000	-1591.762439248761	-1429.7440695567102	-162.01836969205067	0.14233029113839724	0.15442256836853127	0.07904457855153228	1.3739456990030876
12000	-1570.4015410328213	-1406.974555247674	-163.4269857851472	0.18427064866200327	0.08493067925547226	0.09115655042600113	1.8449801243890145
13000	-1580.5958845793582	-1421.5455561900453	-159.0503283893128	0.12848033734192996	0.106689936303554	0.09335407468607898	0.5813245889293237
14000	-1569.9735810876398	-1407.1393619368214	-162.83421915081848	0.17108133520314112	0.056882721562983095	0.138960388271237	0.44773366462616654
15000	-1567.739477571243	-1405.152602051446	-162.58687551979702	0.15869205770287229	0.06780609822134478	0.12477817960621929	1.3475343129269557
16000	-1575.5564406298656	-1412.444717730285	-163.1117228995806	0.11047585633592094	0.0618904267012962	0.08936305267954792	1.263823017158795
17000	-1574.6053464261438	-1412.4242122245073	-162.18113420163647	0.17585891389986635	0.09561176840216035	0.09494790691454272	0.6289601490429181
18000	-1567.374003087965	-1402.2613364187414	-165.1126666692237	0.16272366960492143	0.04935473675752101	0.180449946495638	0.8112269580683353
19000	-1575.7342953218454	-1416.221664649217	-159.51263067262843	0.13263487208310848	0.0914970797568332	0.14561513172787777	0.6074198311811752
20000	-1570.0614703459355	-1408.1255860448296	-161.93588430110606	0.1310813866016452	0.05871302703980061	0.09754165416863497	0.7809525552954164
21000	-1597.4419562328164	-1432.5485265623088	-164.89342967050774	0.10308800659479599	0.05306095786428917	0.04473376976074058	0.24618697107306403
22000	-1583.3776466674008	-1424.3646637242805	-159.01298294312028	0.11906046001651402	0.11045386369738538	0.11833325661110641	0.5795278156741734
23000	-1598.6741935381033	-1440.4374874444338	-158.23670609366943	0.08544436320655556	0.09775613514258498	0.10865254214168511	0.3114865527154943
24000	-1594.6527844861826	-1436.0852037499153	-158.5675807362672	0.15180527702615418	0.0738492389115477	0.09199174821844666	0.1982876305042978
25000	-1584.059254545498	-1425.710946980474	-158.348307565024	0.11382436695647219	0.09448394642648697	0.12561777419464243	0.3962523623741521
26000	-1581.5002725222562	-1421.1051749777503	-160.3950975445059	0.10872309770063836	0.05756368918941575	0.10552826027352344	0.34301324205920897
27000	-1570.718792922879	-1409.135817008023	-161.58297591485598	0.1603944117733864	0.08508680247993593	0.08456812877082656	0.9940005725074301
28000	-1576.7085602831585	-1409.5604562374974	-167.14810404566114	0.10964143869691315	0.03497254684099512	0.12629366776812745	1.5864670413170407
29000	-1577.6020394951852	-1418.6823991624574	-158.91964033272788	0.12930292314029992	0.09301299900916556	0.12955139721234127	0.5145499343103169
30000	-1599.540491760988	-1438.5011619677289	-161.03932979325927	0.1422313822675937	0.0957307364064309	0.05023690658916826	0.24068824758612303
31000	-1604.47869506572	-1446.6870369451144	-157.79165812060577	0.16459678825972285	0.09612572343588016	0.13133572911446678	0.17059933345136433
32000	-1577.3642353387015	-1412.9107163152455	-164.45351902345607	0.12170774291061433	0.07763129224053003	0.13105852597549164	5.173404908647047
33000	-1581.0532156534673	-1421.1191598756402	-159.9340557778271	0.13780281982546005	0.09694395437643573	0.0858742712267371	0.43129748658863587
34000	-1590.8871337330063	-1433.2669665757696	-157.62016715723664	0.11429713703424038	0.08702315130797734	0.12119805881011225	0.25673201551409086
35000	-1592.732563923237	-1432.5271581509169	-160.20540577232015	0.08687876634710184	0.057762995075902455	0.13291737562630468	0.2668972921821473
36000	-1591.5114749120703	-1431.2568404815834	-160.25463443048704	0.12371172178820046	0.06422698128445478	0.14233013735365915	0.204459567965913
37000	-1578.6098763327077	-1418.237335954083	-160.37254037862476	0.11109445247911809	0.08603739314460372	0.13167105090632544	0.7928491940421158
38000	-1579.6005791331459	-1420.2220342138867	-159.37854491925918	0.1072561482936872	0.07755050011724943	0.13176386587548333	0.4944659015326416
39000	-1583.2327663519575	-1420.2889037573955	-162.94386259456203	0.10098416144148263	0.08539259550959624	0.15214459815127962	1.3029852203005552
