"","nInd","nLoc","Ho","HoSE","Hs","HsSE","Fis","FisSE"
"Broadwater",18,620,0.0306099365750529,0.00327623224380619,0.0381545550847458,0.00376017010964653,0.138723703703704,0.0280387392757597
"Cumberland",12,738,0.0624254184100418,0.00410728239365558,0.0896171548117155,0.00535499210413468,0.214436267605634,0.0216226425854701
"Dampier",22,562,0.0562117032392894,0.00390967868823139,0.0868033507853403,0.00513145663966416,0.290248881789137,0.0212481430484352
"MaresForest",22,644,0.056816091954023,0.00434570018556437,0.0722912225705329,0.00500660615670347,0.171555603448276,0.0217098414433011
"MtWilson",18,447,0.0549683385579937,0.00378896858800572,0.0786991640543365,0.0049969488466519,0.234346360153257,0.0210480230829546
"Olney",19,538,0.0634355276907001,0.00424847829336111,0.0899728317659352,0.00548292398546579,0.241075655430712,0.0203603066836177
"SthBarrington",5,832,0.0469344608879493,0.00441452153679953,0.0543888059701493,0.00470598111679216,0.0796738805970149,0.0331936162157502
"Termeil",20,587,0.0640029258098224,0.00418054396572648,0.0978800417972832,0.00550395856681453,0.281574757281553,0.0214423120588392
