"","nInd","nLoc","Ho","HoSE","Hs","HsSE","Fis","FisSE"
"Dorrigo",26,259,0.0794087628865979,0.0068050750174808,0.0937028350515464,0.00742136671339086,0.118544670050761,0.020724183281489
"Kerewong",17,255,0.123946649484536,0.00924586700488512,0.169464948453608,0.00987107857170655,0.26547247706422,0.0267778966787187
"NthBarrington",2,345,0.046448087431694,0.00830332159077242,0.091304347826087,0.0132621265020066,0.276595744680851,0.084409729654175
