Sample	likelihood
0	-1084.4583210137112
100	-1085.2827447572495
200	-1093.683261063134
300	-1100.1452186099693
400	-1098.5082840472314
500	-1088.2222907852824
600	-1088.1021754034477
700	-1088.535466758744
800	-1082.763518998359
900	-1097.97381402595
1000	-1088.9456546554482
1100	-1090.6780014838473
1200	-1096.0292070420144
1300	-1108.5464461824067
1400	-1103.3865640623717
1500	-1097.5468068782166
1600	-1088.0463089775735
1700	-1098.038753142502
1800	-1092.206835054794
1900	-1090.7573116754231
2000	-1095.4060552310193
2100	-1096.1113569177965
2200	-1118.7742849742783
2300	-1104.9445588275596
2400	-1098.3870643595858
2500	-1105.8023900075107
2600	-1094.3478609825393
2700	-1082.227499896725
2800	-1090.8764342744203
2900	-1086.6745459001363
3000	-1085.0952191609274
3100	-1090.4878972976012
3200	-1099.3272957799636
3300	-1102.5392689160817
3400	-1082.9169382357736
3500	-1093.4833201542801
3600	-1090.295291261805
3700	-1086.4826673423354
3800	-1082.4940080458714
3900	-1113.1918251488755
4000	-1091.3518842377398
4100	-1105.2898563066788
4200	-1092.3885359235196
4300	-1105.5705553312232
4400	-1085.9238011607636
4500	-1086.460915951494
4600	-1090.7611683482594
4700	-1090.886746092037
4800	-1102.144267263534
4900	-1124.3838473408205
5000	-1116.8722664318948
5100	-1097.1609282511404
5200	-1113.8222088107025
5300	-1090.200652180323
5400	-1097.9012154931347
5500	-1102.6094164384308
5600	-1095.5929054128198
5700	-1090.8261266151303
5800	-1092.9568222223438
5900	-1094.9130426048082
6000	-1107.9469481232443
6100	-1111.8652420529838
6200	-1113.219877107801
6300	-1099.141311508737
6400	-1110.3790415825197
6500	-1119.0681611883265
6600	-1118.5856322077434
6700	-1106.8063630720817
6800	-1099.278263018835
6900	-1101.764908290039
7000	-1098.1949363719918
7100	-1097.1422327199741
7200	-1090.3854864470568
7300	-1087.3695981404996
7400	-1091.0885608919198
7500	-1085.7362179669988
7600	-1083.822550530243
7700	-1091.9560920282024
7800	-1119.4030543567974
7900	-1089.4632561190479
8000	-1080.7426145507256
8100	-1097.3317038947685
8200	-1099.8818011614694
8300	-1101.5881412338022
8400	-1089.9991984362048
8500	-1091.844238375405
8600	-1114.4299056221962
8700	-1101.3301265288046
8800	-1112.4979236983863
8900	-1084.534827354124
9000	-1087.4206641400121
9100	-1079.9993590998572
9200	-1083.0051433038038
9300	-1095.1347614016063
