Sample	likelihood
0	-1158.5185404331037
100	-1197.9492508929086
200	-1297.8143630278537
300	-1416.826119092469
400	-1513.1913498924366
500	-1369.685929737082
600	-1426.3925987065304
700	-1229.558644997801
800	-1232.7924625862856
900	-1380.2827104294634
1000	-1275.0101045432593
1100	-1697.1287496262862
1200	-1436.9843926968583
1300	-1383.668640884728
1400	-1323.7184673040656
1500	-1320.9667321176717
1600	-1380.3462117210302
1700	-2022.0405800777157
1800	-1636.7071115022422
1900	-1766.5035419335013
2000	-1322.362978334043
2100	-1464.618751513402
2200	-1298.8877233059516
2300	-1235.1712222629292
2400	-1580.7335551653573
2500	-1717.9781291837617
2600	-1281.456004200612
2700	-1396.484701911299
2800	-1531.499801577867
2900	-1518.5417209823722
3000	-1771.2948044419118
3100	-1339.0957185721923
3200	-1527.04881879288
3300	-1825.9385388534329
3400	-1682.8837512872733
3500	-2001.9699778508266
3600	-1857.824774145202
3700	-2136.3510826530014
3800	-2360.7295509253313
3900	-1725.8034258798598
4000	-1546.9922634132563
4100	-1676.9220604599632
4200	-1647.757921450167
4300	-1820.475495259754
4400	-1510.6103046708943
4500	-2013.2537395339668
4600	-2210.0654915341875
4700	-2092.6683241181577
4800	-1962.4003846724568
4900	-2129.3397508836883
5000	-1591.9152928596786
5100	-1620.946852518603
5200	-1635.9964907873737
5300	-2729.3090442907655
5400	-2111.4522613217337
5500	-2471.190908122842
5600	-2058.683651258341
5700	-2049.783269686003
5800	-1745.7064500075312
5900	-2770.8331497111762
6000	-2154.190861724659
6100	-2006.8912439485744
6200	-2009.5380791726889
6300	-1500.001617441205
6400	-1547.838180159065
6500	-1441.0734682618954
6600	-1820.697475271546
6700	-2040.5968440550114
6800	-2533.6375619955147
6900	-2510.044847166809
7000	-2578.2667413541403
7100	-2714.2095271157955
7200	-2786.415446540619
7300	-2716.49247050805
7400	-2478.79552235499
7500	-1703.4623956823052
7600	-1811.6219013901368
7700	-1952.8847801625616
7800	-1842.0364479179862
7900	-1792.909592365144
8000	-1586.9969459188437
8100	-1717.4122767737263
8200	-1695.1989588180204
8300	-1455.3104006298822
8400	-2388.343722162118
8500	-1461.3079686433816
8600	-1336.935472094205
8700	-1531.2896481402013
8800	-1451.8777549879128
8900	-1694.7534519018845
9000	-1830.3546969092572
9100	-1659.315102609255
9200	-1583.7767234305838
9300	-1793.9774131239578
9400	-1649.1666202419524
9500	-1518.3235222927715
9600	-1561.373413680542
9700	-1568.512887953727
9800	-1429.777201322336
9900	-1550.1925475346652
10000	-1954.4321769545127
10100	-1454.062209664712
10200	-1399.991505110199
10300	-1966.7827689034475
10400	-2068.5524228859913
10500	-2407.434787385108
10600	-1931.5033610348132
10700	-1430.0814206277005
10800	-1389.6411207000788
10900	-1236.9553635633986
11000	-1543.1582095471008
11100	-1394.8970028108395
11200	-1361.9498814398964
11300	-1721.6089117461365
11400	-1422.2569123413418
11500	-1578.5107019208726
11600	-1384.6349955572168
11700	-1280.683178532072
11800	-1160.563697119073
11900	-1166.0996086749733
12000	-1234.2023427417057
12100	-1126.8955017546546
12200	-1226.0775758072584
12300	-1138.2182073461172
12400	-1134.2055572860836
12500	-1299.2822745039628
12600	-1453.1778695700345
12700	-1387.2473235790544
12800	-1206.8443893016354
12900	-1361.4900800582466
13000	-2144.269842888059
13100	-1746.3058202856137
13200	-1791.7479778975753
13300	-1421.1453568862198
13400	-1344.3206783822761
13500	-1390.708254614481
13600	-1586.4700897263338
13700	-1245.0155036085532
13800	-1310.467362257907
13900	-1725.0060860912959
14000	-1370.5885079716568
14100	-1302.5806725504717
14200	-1348.0979643715295
