Sample	likelihood
0	-1086.28819084818
100	-1091.7256048614568
200	-1097.3012551137067
300	-1106.6627269851142
400	-1094.3272112071713
500	-1093.2505146300841
600	-1104.7941130754818
700	-1110.631642829912
800	-1107.9795974301728
900	-1100.5511237007781
1000	-1099.8514543455476
1100	-1100.2901030074336
1200	-1096.6927380599082
1300	-1119.2638936512
1400	-1096.9123304669324
1500	-1084.2808668083808
1600	-1083.6814628419625
1700	-1087.9656343695165
1800	-1088.7313346529722
1900	-1091.2462237155173
2000	-1098.4554576850328
2100	-1090.8121798287925
2200	-1090.5669860715318
2300	-1098.4575919827003
2400	-1115.9469316188715
2500	-1099.5035557389112
2600	-1097.4022285917613
2700	-1105.0255339446353
2800	-1108.3984184709457
2900	-1095.4522995203636
3000	-1086.2354288006545
3100	-1086.6780890767195
3200	-1093.9694555445526
3300	-1105.339117074354
3400	-1097.505673117103
3500	-1088.2800133870346
3600	-1085.7167496464906
3700	-1094.7568347000083
3800	-1096.8727813974692
3900	-1101.7204957695635
4000	-1111.4520963823857
4100	-1104.489756669961
4200	-1115.1231944345543
4300	-1109.3448437053253
4400	-1101.4818997880545
4500	-1107.3010507975068
4600	-1091.9081337632597
4700	-1096.0756116803946
4800	-1103.3458671982044
4900	-1091.3837036966395
5000	-1086.6729993715276
5100	-1107.9639752998723
5200	-1121.8294766955012
5300	-1100.8592089231342
5400	-1085.8995984081794
5500	-1083.9449474975431
5600	-1091.7303680895463
5700	-1094.1783372894063
5800	-1089.7414024949226
5900	-1100.9488387760482
6000	-1105.9149752475466
6100	-1103.7290827796655
6200	-1088.605726889802
6300	-1091.6314998648165
6400	-1097.3705128993258
6500	-1089.940953896667
6600	-1080.780901432161
6700	-1091.1040316946874
6800	-1092.599279669645
6900	-1087.4998642872843
7000	-1083.1321974815937
7100	-1093.1335994285112
7200	-1093.676986561379
7300	-1091.4449118390048
7400	-1093.6895356402924
7500	-1090.54967320767
7600	-1087.8799822989668
7700	-1089.0706529337513
