Sample	likelihood
0	-1919.5197554877134
100	-2024.472586156511
200	-1633.2625557732308
300	-1564.3378071842083
400	-1668.5233256864444
500	-1505.599283149813
600	-1594.3978963871064
700	-1465.3559349632758
800	-1483.5394362232273
900	-1576.263655568823
1000	-1495.5204121602649
1100	-1678.3827837869148
1200	-1407.531216635391
1300	-1403.6469564007436
1400	-1336.1246119334494
1500	-1387.3406234035485
1600	-1540.8406570836125
1700	-1723.41889760916
1800	-1613.4060630939719
1900	-1766.4261351382288
2000	-1843.3796490330822
2100	-1918.4294012894868
2200	-2028.7459729140392
2300	-1924.496039324338
2400	-1982.6368888238292
2500	-1970.19523016824
2600	-1836.4145482811202
2700	-1670.495429970824
2800	-2066.3782241893923
2900	-2291.1032356117535
3000	-2178.4074943576466
3100	-1838.1405140487227
3200	-1819.8959298197094
3300	-1680.418737692276
3400	-1795.393775204253
3500	-1841.0550952379617
3600	-1904.6073980584267
3700	-1873.3846493239523
3800	-1825.2641231491114
3900	-1804.123304809537
4000	-1841.0553977956931
4100	-1910.8615268083477
4200	-2048.8553845625106
4300	-2233.4305920582615
4400	-2191.2473334420156
4500	-2314.504269943272
4600	-2095.542069564207
4700	-1991.7884817782738
4800	-2159.537064150219
4900	-2053.1361479262805
5000	-1961.133688656266
5100	-1753.8193777637864
5200	-1821.135909771138
5300	-1951.8021722275848
5400	-1868.0670544646532
5500	-1685.508181974025
5600	-1650.2458800758386
5700	-1396.4764891792456
5800	-1527.6561290798081
5900	-1602.3593546056095
6000	-1537.4877578388653
6100	-1585.327801257658
6200	-1737.9709321792495
6300	-1500.3467074900027
6400	-1479.5320740351083
6500	-1535.299360808307
6600	-1516.2409931223017
6700	-1414.5251341457965
6800	-1425.542375263839
6900	-1456.1796168919716
7000	-1386.7327783929472
7100	-1493.0236692750807
7200	-1568.0800880641511
7300	-1629.938152600895
7400	-1535.851058732743
7500	-1496.1804223872232
7600	-1453.7176658064188
7700	-1462.6439031227885
7800	-1466.6596148131312
7900	-1535.1520703649287
8000	-1480.8292956577022
8100	-1689.5276612837636
8200	-1868.617555768493
8300	-1979.2687848093194
8400	-1888.0108544804461
8500	-1711.0535890816782
8600	-1651.367227676965
8700	-2153.632472956214
8800	-2010.5963341995039
8900	-2098.443283161599
9000	-2108.7798115734417
9100	-2141.1649955617872
9200	-2019.849832745939
9300	-1799.3552062295862
9400	-1817.3742570291477
9500	-2008.4301391991512
9600	-1637.7594414867247
9700	-1759.2612656080141
9800	-1718.478993586549
9900	-1686.1666028705552
10000	-1480.0972228333474
10100	-1372.7561395595105
10200	-1610.901055860657
10300	-1511.8792809569436
10400	-1631.9451276613772
10500	-1678.536619135131
10600	-1479.08202791593
10700	-1196.2560527660721
10800	-1267.881294651498
10900	-1334.1609510124372
11000	-1299.0881767195506
11100	-1369.067144547211
11200	-1481.1197850982794
11300	-1448.0531639055941
11400	-1437.8721103016526
11500	-1421.0117301258633
11600	-1423.2963378245058
11700	-1461.6430775906658
11800	-1217.9642959303994
11900	-1491.7362147886045
12000	-1494.1325189425397
12100	-1442.2573786791154
12200	-1437.6054973314037
12300	-1592.502573424381
12400	-1273.9413424248664
12500	-1297.890765849726
12600	-1510.1080539601685
12700	-1491.4693213478297
12800	-1353.20492321428
12900	-1381.5626593846514
13000	-1445.9965418387978
13100	-1654.5756489295618
13200	-1700.4068975415328
13300	-1798.7215660613347
13400	-2323.5491139275086
13500	-2438.5128744080403
13600	-2511.8757415430478
13700	-2449.517532387778
13800	-1948.4909061466105
13900	-1934.454972666757
14000	-2145.331159486535
14100	-2066.4215262163
14200	-2173.320941555201
14300	-2043.6240492825289
14400	-2416.195986269185
14500	-2238.7088791670044
14600	-2026.0181087739309
14700	-1711.5090414831723
14800	-1624.8979665210159
14900	-1646.0010900900731
15000	-1635.293114900368
15100	-1640.482857318305
15200	-1682.2704085345106
15300	-1334.3510173778313
15400	-1468.6363568288095
15500	-1504.3745761845769
15600	-1527.7535562919165
15700	-1773.9865278282787
15800	-1665.936983489911
15900	-1673.4848200696113
16000	-1704.0966599864441
16100	-1858.4203132680593
16200	-1961.4041402490577
16300	-2017.036069410768
16400	-1946.6844613155567
16500	-1914.589476963413
16600	-1723.7228672765705
16700	-1472.271373900007
16800	-1502.7169219225134
16900	-1659.929099510502
17000	-1585.351585204242
17100	-1421.021540599026
17200	-1470.7097883923589
17300	-1484.6585477654558
17400	-1517.244034377915
17500	-1315.1664145470388
17600	-1314.4769435285323
17700	-1288.0629318959293
17800	-1492.1095148343031
17900	-1538.9582925347709
18000	-1499.2555087874596
18100	-1779.8142255787213
18200	-1744.8030705929957
18300	-1746.4086737377313
18400	-1587.292706755244
18500	-1582.942611736429
18600	-1812.9466974492623
18700	-1913.4594423911203
18800	-1829.6501596044966
18900	-1588.2866662349052
19000	-1408.1763270908516
19100	-1422.2955580453017
19200	-1422.4416640615202
19300	-1425.8432448111091
19400	-1456.1446692595273
19500	-1408.875884925876
19600	-1604.8286725063106
19700	-1447.3445289752485
19800	-1427.4585746116345
19900	-1394.0473497308813
20000	-1414.5802669175587
20100	-1489.8511692553814
20200	-1823.3457293580814
20300	-1838.3878659153086
20400	-1917.251544948077
20500	-1729.42968723854
20600	-1523.3433497410588
20700	-1591.7515794731755
20800	-1522.3703860497649
20900	-1887.4504724179717
21000	-1579.4057968012091
21100	-1602.7342782031758
21200	-1636.9441268233468
21300	-1548.895044135448
21400	-1467.63867563739
21500	-1479.6455480941208
21600	-1436.0820958908632
21700	-1419.0303044731388
21800	-1451.7202675211877
21900	-1479.0617951484087
22000	-1524.766230148548
22100	-1541.3313113145198
22200	-1315.0620690470703
22300	-1347.4440235477523
22400	-1363.4032036343526
22500	-1445.282430338402
22600	-1409.1968198299417
22700	-1370.0422792716288
22800	-1336.0794595022335
22900	-1264.8183487760841
23000	-1338.5135910296374
23100	-1358.6800651156855
23200	-1266.933470457384
23300	-1397.987177093474
23400	-1396.532348346752
23500	-1320.084483304615
23600	-1315.2821591455274
23700	-1432.3752280963286
23800	-1469.5840843370886
23900	-1388.592829921172
24000	-1389.9322605021557
24100	-1268.7584661584417
24200	-1338.2231801136415
24300	-1432.6595661427534
24400	-1331.1535949396678
24500	-1366.0401178988357
24600	-1561.7796191971518
24700	-1499.9960077324913
24800	-1464.9938892515295
24900	-1415.8676537085373
25000	-1369.4352596295569
25100	-1696.964023097423
25200	-1664.7382834977661
25300	-1697.3227599272234
25400	-1495.137017935089
25500	-1417.2053630966764
25600	-1423.180089893995
25700	-1485.2530732073592
25800	-1468.116296813062
25900	-1450.7337017412417
26000	-1409.6190447963256
26100	-1366.4702131527968
26200	-1390.687390614292
26300	-1454.981309589042
26400	-1417.9052986507936
26500	-1537.2331838117695
26600	-1466.4128367963244
26700	-1479.5528083177765
26800	-1651.0605042272684
26900	-1514.43316339238
27000	-1993.8588576139105
27100	-2085.2059882789827
27200	-1898.206519574918
27300	-1992.5237385114065
27400	-2071.270063917244
27500	-2068.084185623809
27600	-1989.0031419025904
27700	-1780.8453357078733
27800	-1855.5645447260706
27900	-1816.2506005916132
28000	-1807.7542562657834
28100	-1679.8349889151193
28200	-1639.5705075362423
28300	-1396.6838193778167
28400	-1378.6929262914932
28500	-1400.7811088474814
28600	-1457.3836003048448
28700	-1447.2028681275713
28800	-1519.7262229418207
28900	-1637.7695734901756
29000	-1642.636543008035
29100	-1474.8840455568193
29200	-1527.6982347127764
29300	-1544.462990107696
29400	-1661.2655578089402
29500	-1540.0083844420697
29600	-1546.2071897999306
29700	-1493.8036328386445
29800	-1617.8632150150772
29900	-1597.1255699960486
30000	-1670.5638975768597
30100	-1497.5528895117238
30200	-1596.6545872984077
30300	-1546.2562361368027
30400	-1611.813760973562
30500	-1599.982019944833
30600	-1693.4581663635506
30700	-1582.4061620718585
30800	-1586.0852168171944
30900	-1456.2302520758483
31000	-1502.9988172055052
31100	-1852.9957086513068
31200	-2107.542490622997
31300	-1805.0807767116148
31400	-2022.2803266667968
31500	-1737.4815336219172
31600	-1754.305138652031
31700	-1826.4367596150637
31800	-1615.2802804763826
31900	-1622.3800392013252
32000	-1638.981854702489
32100	-1719.7077312932286
32200	-1718.2447994507477
32300	-1687.204206520711
32400	-1728.7412037512775
32500	-1615.1102416059423
32600	-1855.7193468418825
32700	-2207.3215043677087
32800	-2228.5243208845854
32900	-2186.895700822064
33000	-2170.900478633295
33100	-2089.6890137956175
33200	-2012.8132130799113
33300	-2042.6516108265694
33400	-1955.1441323665422
33500	-1798.7781877125606
33600	-1834.0849937932296
33700	-1701.4659508550512
33800	-1998.1727452435148
33900	-1908.1722764655403
34000	-1734.88953451501
34100	-1960.0226868271054
34200	-1885.2873016477822
34300	-1801.413702494041
34400	-1730.1114379306966
34500	-1436.6092660277914
34600	-1359.0375149519639
34700	-1319.797755650937
34800	-1420.5122996672521
34900	-1388.55036093448
35000	-1360.8942927250405
35100	-1373.1202377551647
35200	-1434.3843790118012
35300	-1480.3125830015892
35400	-1494.800051753372
35500	-1510.1286255402597
35600	-1589.6614110076948
35700	-1547.192813243536
35800	-1385.0379905481257
35900	-1383.3802310514116
36000	-1325.41174194886
36100	-1550.0715249173438
36200	-1371.5245178322502
36300	-1478.998582641517
36400	-1494.114423051408
36500	-1425.2626524955933
36600	-1424.9109964364459
36700	-1406.8055337570438
36800	-1408.3325891628344
36900	-1433.8240515022921
37000	-1512.5794008009432
37100	-1890.3465687733346
37200	-1681.7381310443611
37300	-1766.701696879092
37400	-1823.0680512219035
37500	-2038.2522769002078
37600	-1968.4075043876455
37700	-2197.461932565573
37800	-1898.2721652730365
37900	-2073.937424177896
38000	-1732.3348397523548
38100	-1615.708008399879
38200	-1776.5357420387224
38300	-2034.3242797440246
38400	-2089.143969999793
38500	-2254.3373953425144
38600	-2139.8334421572863
38700	-2135.962208730718
38800	-1992.6395498315449
38900	-2055.114567238024
39000	-1798.7462925509028
39100	-1482.004712955871
39200	-1564.9719525576038
39300	-1527.1153631537459
39400	-1477.6828798183874
39500	-1555.6484777578255
39600	-1493.982591470789
39700	-1526.7235667507175
39800	-1618.04782881696
39900	-1712.0042530619542
40000	-1516.842796077741
40100	-1555.2421331465296
40200	-1524.899365258913
40300	-1550.769033674759
40400	-1614.6791527413338
40500	-1381.2630348051123
40600	-1327.6722606828137
40700	-1335.5732985692496
40800	-1541.8575397149507
40900	-1732.579522686915
