Sample	likelihood
0	-1059.1598961637126
100	-1041.6840927128019
200	-1052.1803768419682
300	-1053.824911454101
400	-1056.5328087601529
500	-1048.019804745377
600	-1039.1265273072986
700	-1029.7523922103724
800	-1036.4145098381873
900	-1034.642326248721
1000	-1058.6620143597029
1100	-1048.3472280140008
1200	-1054.2518489078757
1300	-1066.0465387441864
1400	-1051.0178923293568
1500	-1043.6416027881316
1600	-1044.0752807561091
1700	-1050.8266481319401
1800	-1040.0038326826307
1900	-1025.3606858172611
2000	-1028.7508010448885
2100	-1028.4698789920656
2200	-1025.8052565541266
2300	-1024.7016283506803
2400	-1042.7738008082538
2500	-1042.4644757568765
2600	-1024.2755301458344
2700	-1033.569433904941
2800	-1039.695572390343
2900	-1038.3821663298434
3000	-1040.0485714430788
3100	-1035.1677420993715
3200	-1037.924022244458
3300	-1056.8666806428985
3400	-1049.3335801946714
3500	-1051.5632522102953
3600	-1042.8242206940017
3700	-1066.5539048890248
3800	-1049.7975919128446
3900	-1046.1586241296357
4000	-1051.2957158102959
4100	-1060.6175071318328
4200	-1054.3893595374425
4300	-1045.4553314700845
4400	-1051.7713363086816
4500	-1064.7053953639588
4600	-1040.101977668659
4700	-1040.1210778829372
4800	-1034.0603075480858
4900	-1041.7623179190998
5000	-1034.9309042636917
5100	-1012.2329038698789
5200	-1020.5373102784172
5300	-1010.0128351740192
5400	-1006.9170886993478
5500	-1009.8005496740388
5600	-1008.5043499391747
5700	-1018.4544661110531
5800	-1007.0061976915957
5900	-1022.8019725365198
6000	-1023.6704524538613
6100	-1026.0974385925974
6200	-1010.2317029168242
6300	-1006.982752185185
6400	-1017.9454823460013
6500	-1026.4916838925692
6600	-1026.458197527995
6700	-1030.6161728035445
6800	-1031.2450423356804
6900	-1029.7828063470718
7000	-1018.182275501761
7100	-1038.8052044111453
7200	-1069.4271508598958
7300	-1041.6134171037445
7400	-1034.92032080671
7500	-1038.2224745465912
7600	-1036.8392840725455
7700	-1034.9050894309246
7800	-1039.1971133765983
7900	-1056.0708363925062
8000	-1060.4403774066127
8100	-1057.709722369576
8200	-1031.4558688745149
8300	-1046.2056806153514
8400	-1042.225185777488
8500	-1030.215088683294
8600	-1021.9105438082618
8700	-1035.1491914618516
8800	-1040.7351375783724
8900	-1024.7765572118005
9000	-1031.5381808605773
9100	-1043.5434456860746
9200	-1040.5548976711132
9300	-1054.8558938282604
9400	-1029.8607747141323
9500	-1016.2817630513861
9600	-1018.5498056984459
9700	-1022.0823690440805
9800	-1012.5093293445299
9900	-1019.1372319831848
10000	-1011.6278610739905
10100	-1010.0976691736465
10200	-1015.8039503435269
10300	-1023.3148979491027
10400	-1022.1261722672162
10500	-1008.1122768814147
10600	-1021.7057498986555
10700	-1018.2353459746315
10800	-1019.4795720914307
10900	-1018.1212631804888
11000	-1022.5178519224077
11100	-1012.3000542501048
11200	-1018.5967884764169
11300	-1010.0636278739781
11400	-1023.9593529911327
11500	-1018.5018425883745
11600	-1026.4696845294432
11700	-1043.5290829214182
11800	-1023.1287539497691
11900	-1024.1304630779607
12000	-1024.245746555614
12100	-1047.715127799868
12200	-1050.8270306879995
12300	-1028.5651700140245
12400	-1046.6378848290096
12500	-1051.9285317944257
12600	-1055.7231285126338
12700	-1067.8374143110254
12800	-1031.844260786318
12900	-1043.7593739111567
13000	-1032.9038728540418
13100	-1028.5153582414484
13200	-1036.5378284169358
13300	-1033.0049989480194
13400	-1023.6436406146582
13500	-1039.3259882791854
13600	-1037.3817019248013
13700	-1033.5897392468064
13800	-1045.4015833201868
13900	-1035.7020759181937
14000	-1037.7470266718476
14100	-1043.3969077732086
14200	-1050.6144431221317
14300	-1046.3881543341415
14400	-1044.228841664037
14500	-1038.7078347387155
14600	-1038.0785508971294
14700	-1042.3078094806192
14800	-1022.5201857659612
14900	-1040.963472420825
15000	-1065.6781237410087
15100	-1056.8682770678167
15200	-1047.3330215920137
15300	-1037.4982986173227
15400	-1045.989580438896
15500	-1041.105695793618
15600	-1040.5339531753439
15700	-1047.5049814939812
15800	-1047.6423737822022
15900	-1025.9795946033612
16000	-1003.1699550224586
16100	-1011.3233834862918
16200	-1026.5970540512074
16300	-1032.2458425071852
16400	-1014.1586862186663
16500	-1026.645700595546
16600	-1058.923014498865
16700	-1039.000863247616
16800	-1040.378600617283
16900	-1031.3832792194894
17000	-1077.526324139448
17100	-1026.6647178496985
17200	-1019.0708915338063
17300	-1031.4669106470035
17400	-1026.1734081971076
17500	-1038.967925049817
17600	-1012.3997985003466
17700	-1020.542972340969
17800	-1022.0425225151475
17900	-1022.4762718400068
18000	-1038.0641073091201
18100	-1043.93345370637
18200	-1044.3578475627753
18300	-1035.074428096865
18400	-1035.8241023415671
18500	-1051.715948055963
18600	-1037.855604466716
18700	-1046.6796690835088
18800	-1047.7233126024958
18900	-1048.0574930987252
19000	-1050.5043097235389
19100	-1047.410677648095
19200	-1065.6586167930905
19300	-1054.1158514340202
19400	-1039.526613481657
19500	-1054.7642835257102
19600	-1045.4086307030602
19700	-1028.9276877732002
19800	-1033.2861087850943
19900	-1050.1706860752963
20000	-1032.1763000938386
20100	-1030.587151606711
20200	-1021.461964110778
20300	-1015.1703740459899
20400	-1020.0715585727672
20500	-1018.6459216495506
20600	-1029.1245386419475
20700	-1034.9139479172363
20800	-1025.1383479547528
20900	-1016.769798178491
21000	-1015.8951218468927
21100	-1042.9774509375256
21200	-1040.0397432961452
21300	-1044.0484499540942
21400	-1062.4978456721435
21500	-1049.6277264685414
21600	-1046.6087087599776
21700	-1046.4057363722338
21800	-1053.8473956675766
21900	-1067.3247654961876
22000	-1059.0526434388003
22100	-1060.8664987729717
22200	-1076.9454088397804
22300	-1061.810406898075
22400	-1061.5147005691367
22500	-1057.2655648067873
22600	-1062.7272077459663
22700	-1069.5547013168023
22800	-1069.764677277047
22900	-1059.6000280413311
23000	-1070.7341623820273
23100	-1047.291734655657
23200	-1101.7808372356274
23300	-1092.7065600361843
23400	-1090.178668642176
23500	-1092.9908629550284
23600	-1085.2016336793786
23700	-1088.3540373678027
23800	-1085.980628067499
23900	-1085.9776790070225
24000	-1080.640037450968
24100	-1075.2861954644975
24200	-1057.9424992272827
24300	-1061.9706117502178
24400	-1066.715854330497
24500	-1082.7795604831895
24600	-1068.575105027952
24700	-1083.1566533673135
24800	-1055.0151096980546
24900	-1057.3067406195792
25000	-1049.5144483865022
25100	-1049.1650339254097
25200	-1047.320023043241
25300	-1044.7823580313388
25400	-1040.0209669067112
25500	-1040.1522552285016
25600	-1048.9360372338265
25700	-1043.3682706864527
25800	-1051.2395916618543
25900	-1101.7637039981535
26000	-1069.7774190577804
26100	-1066.5718272590395
26200	-1061.6850407354625
26300	-1079.7520500914998
26400	-1061.8377025244201
26500	-1074.0224357116745
26600	-1069.1676559349303
26700	-1070.5266883098252
26800	-1069.2403842749352
26900	-1077.0174250471694
27000	-1080.3563375740841
27100	-1091.0070573965625
27200	-1083.8677380299357
27300	-1087.5590769600005
27400	-1088.8139844473294
27500	-1079.6417802965898
27600	-1085.111013220768
27700	-1059.0156371507644
27800	-1071.8238493562733
27900	-1078.5118558809381
28000	-1079.473126161363
28100	-1076.6210873485736
28200	-1056.9459306473557
28300	-1048.5260691769606
28400	-1031.8832197182435
28500	-1029.65901903605
28600	-1024.6638454960873
28700	-1042.4000457293805
28800	-1035.9438598546667
28900	-1032.0170546367178
29000	-1041.6838688295713
29100	-1040.7056808103662
29200	-1034.0182642083912
